COUNTYFP20,BLACK,HISP,ASIAN,WHITE,OTHER,VAP20,BLACK_share,HISP_share,ASIAN_share,WHITE_share,OTHER_share,COUNTY,CNAME
48145,2990,2791,55,7524,86,13446,0.2223709653428529,0.2075710248401011,0.0040904358173434,0.5595716198125836,0.0063959541871188,Falls,Falls
48147,2031,2816,215,22733,332,28127,0.0722081985281046,0.1001173249902229,0.0076439008781597,0.8082269705265404,0.0118036050769723,Fannin,Fannin
48149,1086,3423,83,14710,94,19396,0.0559909259641163,0.1764796865333058,0.0042792328315116,0.758403794596824,0.0048463600742421,Fayette,Fayette
48151,76,689,14,2055,28,2862,0.0265548567435359,0.2407407407407407,0.0048916841369671,0.7180293501048218,0.0097833682739343,Fisher,Fisher
48153,112,2023,11,1775,8,3929,0.028505981165691,0.514889284805294,0.0027996945787732,0.4517688979384067,0.002036141511835,Floyd,Floyd
48155,12,136,2,748,1,899,0.0133481646273637,0.1512791991101223,0.0022246941045606,0.8320355951056729,0.0011123470522803,Foard,Foard
48157,126462,135560,138433,192834,3704,596993,0.2118316295165939,0.2270713391949319,0.2318837909322219,0.323008812498639,0.006204427857613,Fortbend,Fortbend
48159,306,967,57,6616,77,8023,0.0381403465038015,0.1205284806182226,0.0071045743487473,0.8246291910756575,0.0095974074535709,Franklin,Franklin
48161,2354,2086,67,10676,109,15292,0.1539366989275438,0.1364111953962856,0.0043813758828145,0.6981428197750458,0.0071279100183102,Freestone,Freestone
48163,665,10302,179,2601,78,13825,0.0481012658227848,0.7451717902350814,0.0129475587703435,0.1881374321880651,0.0056419529837251,Frio,Frio
48165,197,5544,69,8269,56,14135,0.0139370357269189,0.3922178988326848,0.004881499823134,0.5850017686593562,0.0039617969579059,Gaines,Gaines
48167,33972,60159,10910,160253,2088,267382,0.1270541771697421,0.2249927070633026,0.0408030458295622,0.5993410177199662,0.0078090522174267,Galveston,Galveston
48169,210,2701,26,1823,29,4789,0.0438504907078722,0.564000835247442,0.0054291083733556,0.3806640217164335,0.0060555439548966,Garza,Garza
48171,109,3944,134,17598,136,21921,0.0049724008941197,0.1799187993248483,0.0061128598147894,0.8027918434377994,0.006204096528443,Gillespie,Gillespie
48173,10,267,0,564,3,844,0.0118483412322274,0.3163507109004739,0.0,0.6682464454976303,0.0035545023696682,Glasscock,Glasscock
48175,207,1633,36,3602,22,5500,0.0376363636363636,0.2969090909090909,0.0065454545454545,0.6549090909090909,0.004,Goliad,Goliad
48177,902,6585,72,7053,77,14689,0.0614064946558649,0.4482946422493022,0.0049016270678739,0.4801552181904827,0.0052420178364762,Gonzales,Gonzales
48179,772,4097,129,10962,142,16102,0.0479443547385418,0.2544404421810955,0.0080114271519065,0.680784995652714,0.0088187802757421,Gray,Gray
48181,6407,12990,1778,81084,1664,103923,0.0616514149899444,0.1249963915591351,0.0171088209539755,0.7802315175658902,0.0160118549310547,Grayson,Grayson
48183,19495,15040,1483,57427,558,94003,0.2073869982872887,0.1599948937799857,0.0157760922523749,0.6109060349137794,0.0059359807665712,Gregg,Gregg
48185,3181,5011,138,14592,123,23045,0.1380342807550444,0.2174441310479496,0.0059882837925797,0.6331959210240833,0.0053373833803428,Grimes,Grimes
48187,10216,44169,3340,69377,1120,128222,0.0796743148601644,0.344472867370654,0.0260485720079237,0.5410693952675828,0.008734850493675,Guadalupe,Guadalupe
48189,1226,13372,145,9233,167,24143,0.0507807646108602,0.5538665451683717,0.0060058816220022,0.3824296897651493,0.0069171188336163,Hale,Hale
48191,147,617,8,1418,9,2199,0.0668485675306957,0.2805820827648931,0.003638017280582,0.6448385629831742,0.0040927694406548,Hall,Hall
48193,40,678,36,5687,50,6491,0.0061623786781697,0.1044523185949776,0.0055461408103527,0.8761361885687875,0.0077029733477122,Hamilton,Hamilton
48195,23,1656,8,2055,34,3776,0.0060911016949152,0.4385593220338983,0.0021186440677966,0.5442266949152542,0.0090042372881355,Hansford,Hansford
48197,121,516,21,2060,22,2740,0.0441605839416058,0.1883211678832116,0.0076642335766423,0.7518248175182481,0.0080291970802919,Hardeman,Hardeman
48199,2428,2150,392,37384,278,42632,0.0569525239256896,0.0504316006755488,0.0091949709138675,0.8768999812347532,0.0065209232501407,Hardin,Hardin
48201,686047,1405353,293222,1110318,24644,3519584,0.1949227522343549,0.3992952007964577,0.0833115504559629,0.3154685326447671,0.0070019638684571,Harris,Harris
48203,10657,6012,446,34272,478,51865,0.2054757543622867,0.1159163212185481,0.0085992480478164,0.660792441916514,0.0092162344548346,Harrison,Harrison
48205,214,1219,21,2757,11,4222,0.0506868782567503,0.2887257224064424,0.0049739459971577,0.653008053055424,0.0026054002842254,Hartley,Hartley
48207,178,997,20,3093,44,4332,0.0410895660203139,0.2301477377654663,0.0046168051708217,0.71398891966759,0.0101569713758079,Haskell,Haskell
48209,8671,65543,7581,102377,1351,185523,0.046738140284493,0.35328773251834,0.0408628579744829,0.5518291532586256,0.0072821159640583,Hays,Hays
48211,4,687,13,1679,13,2396,0.001669449081803,0.2867278797996661,0.0054257095158597,0.7007512520868113,0.0054257095158597,Hemphill,Hemphill
48213,4011,7234,526,52642,517,64930,0.0617742183890343,0.1114122901586323,0.0081010318804866,0.8107500385030032,0.0079624210688433,Henderson,Henderson
48215,3005,549880,7171,46534,1635,608225,0.0049406058613177,0.9040733281269268,0.011790044802499,0.0765078712647457,0.0026881499445106,Hidalgo,Hidalgo
48217,1666,4990,170,20451,209,27486,0.0606126755439132,0.1815469693662228,0.006184966892236,0.7440515171359965,0.0076038710616313,Hill,Hill
48219,503,7088,53,8191,102,15937,0.0315617744870427,0.4447512078810315,0.0033255945284557,0.5139612223128569,0.006400200790613,Hockley,Hockley
48221,495,5137,494,42643,440,49209,0.0100591355239895,0.1043914731045134,0.0100388140380824,0.8665691235343128,0.0089414537991017,Hood,Hood
48223,1961,4077,272,21348,213,27871,0.0703598722686663,0.1462810806931936,0.0097592479638333,0.7659574468085106,0.0076423522657959,Hopkins,Hopkins
48225,4240,2207,125,11209,105,17886,0.2370569160237056,0.1233925975623392,0.0069887062506988,0.6266912669126691,0.005870513250587,Houston,Houston
48227,1234,11985,346,13050,247,26862,0.045938500483955,0.4461693098056734,0.0128806492442856,0.485816394907304,0.0091951455587819,Howard,Howard
48229,11,1576,15,1055,10,2667,0.004124484439445,0.5909261342332208,0.0056242969628796,0.395575553055868,0.0037495313085864,Hudspeth,Hudspeth
48231,6642,12378,1038,55170,915,76143,0.0872306055710964,0.1625625467869666,0.0136322445924116,0.7245577400417635,0.0120168630077617,Hunt,Hunt
48233,410,3153,122,11476,269,15430,0.0265716137394685,0.2043421905379131,0.0079066753078418,0.7437459494491251,0.0174335709656513,Hutchinson,Hutchinson
48235,10,262,6,893,13,1184,0.0084459459459459,0.2212837837837837,0.0050675675675675,0.754222972972973,0.0109797297297297,Irion,Irion
48237,287,1029,36,5263,34,6649,0.043164385621898,0.1547601143029026,0.0054143480222589,0.791547601143029,0.0051135509099112,Jack,Jack
48239,730,3282,112,7112,104,11340,0.064373897707231,0.2894179894179894,0.0098765432098765,0.6271604938271605,0.0091710758377425,Jackson,Jackson
48241,4238,1456,112,19567,166,25539,0.1659422843494263,0.0570108461568581,0.0043854497043737,0.766161556834645,0.0064998629546967,Jasper,Jasper
48243,9,463,15,1204,20,1711,0.005260081823495,0.2706019871420222,0.0087668030391583,0.7036820572764465,0.0116890707188778,Jeffdavis,Jeffdavis
48245,64370,39717,8159,82231,1203,195680,0.3289554374488961,0.2029691332788225,0.0416956255110384,0.4202320114472608,0.006147792313982,Jefferson,Jefferson
48247,4,3077,23,390,22,3516,0.0011376564277588,0.8751422070534699,0.0065415244596131,0.1109215017064846,0.0062571103526734,Jimhogg,Jimhogg
48249,173,22115,128,6085,129,28630,0.0060426126440796,0.7724414949353825,0.0044708347886831,0.2125392944463849,0.0045057631854697,Jimwells,Jimwells
48251,5493,27491,1799,97520,1662,133965,0.0410032471167842,0.2052103161273467,0.0134288806777889,0.7279513305714179,0.0124062255066621,Johnson,Johnson
48253,1920,4302,105,9789,71,16187,0.1186137023537406,0.2657688268363501,0.0064866868474701,0.6047445480941497,0.0043862358682893,Jones,Jones
48255,1087,5805,143,4737,83,11855,0.0916912695065373,0.489666807254323,0.0120624209194432,0.3995782370307887,0.0070012652889076,Karnes,Karnes
48257,15390,22171,1910,63349,826,103646,0.1484861933890357,0.2139108118017096,0.0184281110703741,0.6112054493178705,0.0079694344210099,Kaufman,Kaufman
48259,295,6743,444,26410,287,34179,0.0086310307498756,0.1972848825302086,0.0129904327218467,0.7726966850990374,0.0083969688990315,Kendall,Kendall
48261,0,202,1,61,3,267,0.0,0.7565543071161048,0.0037453183520599,0.2284644194756554,0.0112359550561797,Kenedy,Kenedy
48263,5,63,1,533,6,608,0.0082236842105263,0.1036184210526315,0.0016447368421052,0.8766447368421053,0.0098684210526315,Kent,Kent
48265,686,9564,548,32154,318,43270,0.0158539403743933,0.2210307372313381,0.0126646637393113,0.743101455974116,0.0073492026808412,Kerr,Kerr
48267,27,704,38,2763,25,3557,0.0075906662918189,0.1979195951644644,0.0106831599662637,0.7767781838628057,0.0070283947146471,Kimble,Kimble
48269,0,20,0,165,4,189,0.0,0.1058201058201058,0.0,0.873015873015873,0.0211640211640211,King,King
48271,41,1097,22,1380,34,2574,0.0159285159285159,0.4261849261849262,0.0085470085470085,0.5361305361305362,0.0132090132090132,Kinney,Kinney
48273,885,16147,736,5875,148,23791,0.0371989407759236,0.6787020301794796,0.0309360682611071,0.2469421209701147,0.0062208398133748,Kleberg,Kleberg
48275,141,709,12,1651,13,2526,0.0558194774346793,0.2806809184481393,0.004750593824228,0.6536025336500396,0.0051464766429136,Knox,Knox
48277,5044,2679,429,29618,630,38400,0.1313541666666666,0.069765625,0.011171875,0.7713020833333334,0.01640625,Lamar,Lamar
48279,321,4999,15,4144,32,9511,0.033750394280307,0.5256019346020397,0.0015771212280517,0.4357060246030911,0.0033645252865103,Lamb,Lamb
48281,672,2739,333,12882,230,16856,0.0398671096345514,0.1624940673943996,0.0197555766492643,0.7642382534409112,0.0136449928808732,Lampasas,Lampasas
48283,220,3667,11,1362,8,5268,0.0417615793470007,0.6960895975702354,0.00208807896735,0.2585421412300683,0.0015186028853454,Lasalle,Lasalle
48285,946,2523,63,12100,49,15681,0.0603277852177794,0.1608953510617945,0.0040176009183087,0.771634462087877,0.0031248007142401,Lavaca,Lavaca
48287,1319,2800,66,8922,66,13173,0.1001290518484779,0.2125559857283838,0.0050102482350261,0.6772944659530858,0.0050102482350261,Lee,Lee
48289,808,1556,98,9863,81,12406,0.0651297759148799,0.1254231823311301,0.0078994035144285,0.7950185394164114,0.00652909882315,Leon,Leon
48291,5992,19447,450,40957,458,67304,0.0890288838702008,0.2889427077142517,0.0066860810650184,0.6085373826221324,0.0068049447283965,Liberty,Liberty
48293,2951,3166,146,10719,112,17094,0.1726336726336726,0.1852111852111852,0.0085410085410085,0.627062127062127,0.0065520065520065,Limestone,Limestone
48295,11,737,5,1534,17,2304,0.0047743055555555,0.3198784722222222,0.0021701388888888,0.6657986111111112,0.0073784722222222,Lipscomb,Lipscomb
48297,216,3758,39,5204,79,9296,0.023235800344234,0.4042598967297762,0.0041953528399311,0.5598106712564543,0.0084982788296041,Liveoak,Liveoak
48299,124,1679,135,16024,151,18113,0.0068459117760724,0.0926958538066582,0.0074532104013691,0.884668470159554,0.0083365538563462,Llano,Llano
48301,2,0,0,37,1,40,0.05,0.0,0.0,0.925,0.025,Loving,Loving
48303,20992,74950,8807,130742,2051,237542,0.0883717405764033,0.3155231495903882,0.037075548745064,0.550395298515631,0.0086342625725134,Lubbock,Lubbock
48305,82,1610,13,2274,29,4008,0.0204590818363273,0.4016966067864271,0.0032435129740518,0.5673652694610778,0.0072355289421157,Lynn,Lynn
48307,100,1643,37,4194,11,5985,0.0167084377610693,0.2745196324143693,0.0061821219715956,0.7007518796992481,0.0018379281537176,Mcculloch,McCulloch
48309,27814,45305,4878,117756,1638,197391,0.1409081467746756,0.2295190763509987,0.0247123729045397,0.5965621532896637,0.0082982506801221,Mclennan,McLennan
48311,6,181,5,291,4,487,0.0123203285420944,0.3716632443531827,0.0102669404517453,0.5975359342915811,0.0082135523613963,Mcmullen,McMullen
48313,2179,2541,88,5851,42,10701,0.2036258293617419,0.2374544435099523,0.0082235305111671,0.5467713297822634,0.0039248668348752,Madison,Madison
48315,1558,249,44,6079,86,8016,0.1943612774451097,0.031062874251497,0.0054890219560878,0.7583582834331337,0.0107285429141716,Marion,Marion
48317,72,1497,10,2093,24,3696,0.0194805194805194,0.4050324675324675,0.0027056277056277,0.5662878787878788,0.0064935064935064,Martin,Martin
48319,11,632,2,2549,8,3202,0.0034353529044347,0.1973766396002498,0.0006246096189881,0.7960649594003748,0.0024984384759525,Mason,Mason
48321,2870,10368,632,13115,162,27147,0.1057207057870114,0.3819206542159354,0.023280657162854,0.483110472612075,0.0059675102221239,Matagorda,Matagorda
48323,132,38788,157,1280,572,40929,0.0032250971194018,0.9476899020254588,0.0038359109677734,0.0312736690366243,0.0139754208507415,Maverick,Maverick
48325,1234,18298,273,18856,310,38971,0.0316645710913243,0.4695286238485027,0.0070052090015652,0.4838469631264273,0.0079546329321803,Medina,Medina
48327,20,501,6,1060,15,1602,0.0124843945068664,0.3127340823970037,0.0037453183520599,0.66167290886392,0.0093632958801498,Menard,Menard
48329,8255,49241,3062,61523,1053,123134,0.0670407848360322,0.3998976724543993,0.0248672178277323,0.4996426657137752,0.0085516591680608,Midland,Midland
48331,1712,4036,114,13079,129,19070,0.0897745149449397,0.2116413214472994,0.0059779758783429,0.6858416360776088,0.0067645516518091,Milam,Milam
48333,25,506,8,3010,20,3569,0.0070047632390025,0.141776407957411,0.0022415242364808,0.8433734939759037,0.005603810591202,Mills,Mills
48335,868,2618,48,3637,44,7215,0.1203049203049203,0.3628551628551628,0.0066528066528066,0.5040887040887041,0.006098406098406,Mitchell,Mitchell
48337,77,1483,96,13730,166,15552,0.0049511316872427,0.0953575102880658,0.0061728395061728,0.8828446502057613,0.0106738683127572,Montague,Montague
48339,27145,106583,18287,302714,3595,458324,0.0592266606156343,0.2325494628254248,0.0398997215943306,0.6604803588727625,0.0078437960918476,Montgomery,Montgomery
48341,551,8298,594,5370,131,14944,0.0368709850107066,0.5552730192719486,0.0397483940042826,0.3593415417558886,0.0087660599571734,Moore,Moore
48343,1992,697,43,6487,81,9300,0.2141935483870967,0.0749462365591397,0.0046236559139784,0.6975268817204301,0.0087096774193548,Morris,Morris
48345,11,91,4,734,1,841,0.0130796670630202,0.1082045184304399,0.0047562425683709,0.8727705112960761,0.0011890606420927,Motley,Motley
48347,8196,8965,749,31806,287,50003,0.1639101653900766,0.1792892426454412,0.0149791012539247,0.6360818350898946,0.0057396556206627,Nacogdoches,Nacogdoches
48349,5070,10180,373,22913,712,39248,0.1291785568691398,0.2593762739502649,0.0095036689767631,0.5838004484304933,0.0181410517733387,Navarro,Navarro
48351,1673,222,38,7674,65,9672,0.1729735318444996,0.0229528535980148,0.0039288668320926,0.793424317617866,0.0067204301075268,Newton,Newton
48353,499,3557,81,6818,73,11028,0.0452484584693507,0.3225426187885383,0.0073449401523395,0.6182444686253173,0.0066195139644541,Nolan,Nolan
48355,11202,157772,7126,92021,1935,270056,0.0414802855704002,0.5842195692745208,0.0263871197085049,0.3407478448914299,0.0071651805551441,Nueces,Nueces
48357,26,3490,27,3408,40,6991,0.0037190673723358,0.4992132742096982,0.003862108425118,0.487483907881562,0.0057216421112859,Ochiltree,Ochiltree
48359,22,186,10,1007,4,1229,0.0179007323026851,0.1513425549227013,0.0081366965012205,0.8193653376729048,0.0032546786004882,Oldham,Oldham
48361,5989,4737,989,52349,412,64476,0.0928872758856008,0.0734691978410571,0.0153390408834294,0.8119145108257336,0.0063899745641789,Orange,Orange
48363,498,3684,233,17425,198,22038,0.0225973318812959,0.1671658045194664,0.0105726472456665,0.7906797350031763,0.0089844813503947,Palopinto,Palopinto
48365,2596,1344,108,13040,88,17176,0.1511411271541686,0.0782487191429902,0.0062878435025617,0.759198882161155,0.0051234280391243,Panola,Panola
48367,1631,12475,1182,95019,1127,111434,0.0146364664285586,0.1119496742466392,0.0106071755478579,0.8526930739271676,0.0101136098497765,Parker,Parker
48369,58,4355,16,2574,26,7029,0.0082515293782899,0.6195760421112534,0.0022762839664248,0.3661971830985915,0.0036989614454403,Parmer,Parmer
48371,499,7839,128,3065,49,11580,0.0430915371329879,0.6769430051813472,0.0110535405872193,0.2646804835924007,0.0042314335060449,Pecos,Pecos
48373,4211,5248,350,30075,780,40664,0.1035559708833366,0.1290576431241392,0.0086071217784772,0.7395976785362974,0.0191815856777493,Polk,Polk
48375,9290,30459,4368,43515,966,88598,0.1048556400821689,0.3437887988442177,0.0493013386306688,0.4911510417842389,0.0109031806587056,Potter,Potter
48377,20,3688,64,875,25,4672,0.0042808219178082,0.7893835616438356,0.0136986301369863,0.1872859589041096,0.0053510273972602,Presidio,Presidio
48379,233,703,81,8535,94,9646,0.024155090192826,0.0728799502384408,0.0083972631142442,0.8848227244453659,0.0097449720091229,Rains,Rains
